read_code,brand_name,term_description,term,quantity,dose,group,with_calcium_channel_blocker,with_diuretic
bh5..,Terazosin Hydrochloride,TERAZOSIN HYDROCHLORIDE,Terazosin Hydrochloride,,,Alpha-Adrenoceptor Blocking Drugs,False,False
bh51.,Hytrin,HYTRIN 2mg tablets,Terazosin Hydrochloride,,2 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
bh52.,Hytrin,HYTRIN 5mg tablets,Terazosin Hydrochloride,,5 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
bh53.,Hytrin,HYTRIN 10mg tablets,Terazosin Hydrochloride,,10 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
bh54.,Hytrin,HYTRIN STARTER PACK tablets,Terazosin Hydrochloride,,,Alpha-Adrenoceptor Blocking Drugs,False,False
bh57.,Hytrin,HYTRIN 1mg tablets,Terazosin Hydrochloride,,1 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
bh6E.,Slocinx,SLOCINX XL 4mg m/r tablets,Doxazosin Mesilate,,4 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
bh6G.,Oxandosin,OXANDOSIN XL 4mg m/r tablets,Doxazosin Mesilate,,4 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
bh6H.,Raporsin,RAPORSIN XL 4mg m/r tablets,Doxazosin Mesilate,,4 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
bi1..,Captopril,CAPTOPRIL,Captopril,,,Angiotensin-Converting Enzyme Inhibitors,False,False
bi11.,Acepril,ACEPRIL 12.5mg tablets,Captopril,,12.5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi12.,Acepril,ACEPRIL 25mg tablets,Captopril,,25 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi13.,Acepril,ACEPRIL 25mg tablets x56,Captopril,,25 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi14.,Acepril,ACEPRIL 50mg tablets,Captopril,,50 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi15.,Acepril,ACEPRIL 50mg tablets x56,Captopril,,50 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi16.,Capoten,*CAPOTEN 12.5mg tablets,Captopril,,12.5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi17.,Capoten,CAPOTEN 25mg tablets,Captopril,,25 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi18.,Capoten,CAPOTEN 25mg tablets x56,Captopril,,25 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi19.,Capoten,CAPOTEN 50mg tablets,Captopril,,50 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi1a.,Capoten,CAPOTEN 50mg tablets x56,Captopril,,50 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi1b.,Acezide,ACEZIDE 50mg tablets x56,Co-Zidocapt,,50 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi1c.,Capozide,*CAPOZIDE 50mg tablets x28,Co-Zidocapt,,50 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi1d.,Capozide,*CAPOZIDE LS 25mg tabletsx28CP,Co-Zidocapt,,25 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi1D.,Capto-Co,*CAPTO-CO 25mg/12.5mg tablets,Co-Zidocapt,,25 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi1e.,Captopril,CAPTOPRIL+HYDROCHLOROTHIAZIDE 25mg/12.5mg tablets,Captopril,,25 mg,Angiotensin-Converting Enzyme Inhibitors,False,True
bi1E.,Capto-Co,*CAPTO-CO 50mg/25mg tablets,Co-Zidocapt,,50 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi1f.,Captopril,CAPTOPRIL+HYDROCHLOROTHIAZIDE 50mg/25mg tablets,Captopril,,50 mg,Angiotensin-Converting Enzyme Inhibitors,False,True
bi1F.,Co-Zidocapt,CO-ZIDOCAPT 25mg/12.5mg tablet,Co-Zidocapt,,25 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi1g.,Ecopace,ECOPACE 12.5mg tablets,Captopril,,12.5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi1G.,Co-Zidocapt,*CO-ZIDOCAPT 50mg/25mg tablets,Co-Zidocapt,,50 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi1h.,Ecopace,ECOPACE 25mg tablets,Captopril,,25 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi1H.,Noyada,NOYADA 5mg/5mL oral solution,Captopril,,5 mg/5 ml,Angiotensin-Converting Enzyme Inhibitors,False,False
bi1i.,Ecopace,ECOPACE 50mg tablets,Captopril,,50 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi1I.,Captopril,CAPTOPRIL 5mg/5mL oral solution,Captopril,,5 mg/5 ml,Angiotensin-Converting Enzyme Inhibitors,False,False
bi1j.,Kaplon,*KAPLON 12.5mg tablets,Captopril,,12.5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi1J.,Noyada,NOYADA 25mg/5mL oral solution,Captopril,,25 mg/5 ml,Angiotensin-Converting Enzyme Inhibitors,False,False
bi1k.,Kaplon,*KAPLON 25mg tablets,Captopril,,25 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi1K.,Captopril,CAPTOPRIL 25mg/5mL oral solution,Captopril,,25 mg/5 ml,Angiotensin-Converting Enzyme Inhibitors,False,False
bi1l.,Kaplon,*KAPLON 50mg tablets,Captopril,,50 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi1m.,Hyteneze,*HYTENEZE 12.5 tablets,Captopril,5.0,,Angiotensin-Converting Enzyme Inhibitors,False,False
bi1n.,Hyteneze,*HYTENEZE 25 tablets,Captopril,25.0,,Angiotensin-Converting Enzyme Inhibitors,False,False
bi1o.,Hyteneze,*HYTENEZE 50 tablets,Captopril,50.0,,Angiotensin-Converting Enzyme Inhibitors,False,False
bi1p.,Tensopril,*TENSOPRIL 12.5mg tablets,Captopril,,12.5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi1q.,Tensopril,*TENSOPRIL 25mg tablets,Captopril,,25 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi1r.,Tensopril,*TENSOPRIL 50mg tablets,Captopril,,50 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi1s.,Capozide,CAPOZIDE 50mg/25mg tablets,Co-Zidocapt,,50 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi1v.,Captopril,CAPTOPRIL 12.5mg tablets,Captopril,,12.5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
