,Unnamed: 0,bnf_code,brand_name,presentation,term,quantity,dose,group,with_calcium_channel_blocker,with_diuretic
132,132.0,0204000H0AAAFAF,Bisoprolol Fumar,Bisoprolol Fumar_Tab 10mg            @gn,Bisoprolol Fumarate,,10 mg,beta blockers,False,False
133,133.0,0204000H0AAAGAG,Bisoprolol Fumar,Bisoprolol Fumar_Tab 5mg             @gn,Bisoprolol Fumarate,,5 mg,beta blockers,False,False
134,134.0,0204000H0AAAHAH,Bisoprolol Fumar,Bisoprolol Fumar_Tab 1.25mg          @gn,Bisoprolol Fumarate,,1.25 mg,beta blockers,False,False
135,135.0,0204000H0AAAIAI,Bisoprolol Fumar,Bisoprolol Fumar_Pdrs 1.2mg,Bisoprolol Fumarate,,1.2 mg,beta blockers,False,False
136,136.0,0204000H0AAAJAJ,Bisoprolol Fumar,Bisoprolol Fumar_Tab 2.5mg,Bisoprolol Fumarate,,2.5 mg,beta blockers,False,False
137,137.0,0204000H0AAAKAK,Bisoprolol Fumar,Bisoprolol Fumar_Tab 3.75mg,Bisoprolol Fumarate,,3.75 mg,beta blockers,False,False
138,138.0,0204000H0AAALAL,Bisoprolol Fumar,Bisoprolol Fumar_Tab 7.5mg,Bisoprolol Fumarate,,7.5 mg,beta blockers,False,False
139,139.0,0204000H0AAAMAM,Bisoprolol Fumar,Bisoprolol Fumar_Tab 1.25mg,Bisoprolol Fumarate,,1.25 mg,beta blockers,False,False
140,140.0,0204000H0AAANAN,Bisoprolol Fumar,Bisoprolol Fumar_Pdrs 3mg,Bisoprolol Fumarate,,3 mg,beta blockers,False,False
141,141.0,0204000H0AAAPAP,Bisoprolol Fumar,Bisoprolol Fumar_Liq Spec 2.5mg/5ml,Bisoprolol Fumarate,,5 mg/5 ml,beta blockers,False,False
142,142.0,0204000H0AAAQAQ,Bisoprolol Fumar,Bisoprolol Fumar_Liq Spec 5mg/5ml,Bisoprolol Fumarate,,5 mg/5 ml,beta blockers,False,False
143,143.0,0204000H0AAARAR,Bisoprolol Fumar,Bisoprolol Fumar_Liq Spec 10mg/5ml,Bisoprolol Fumarate,,10 mg/5 ml,beta blockers,False,False
144,144.0,0204000H0AAASAS,Bisoprolol Fumar,Bisoprolol Fumar_Liq Spec 1.667mg/5ml,Bisoprolol Fumarate,,667 mg/5 ml,beta blockers,False,False
145,145.0,0204000H0AAATAT,Bisoprolol Fumar,Bisoprolol Fumar_Pdrs 5mg,Bisoprolol Fumarate,,5 mg,beta blockers,False,False
146,146.0,0204000H0AAAUAU,Bisoprolol Fumar,Bisoprolol Fumar_OralSoln1.25mg/5ml(Old),Bisoprolol Fumarate,,25 mg/5 ml,beta blockers,False,False
147,147.0,0204000H0AAAVAV,Bisoprolol Fumar,Bisoprolol Fumar_Tab 2.5mg           @gn,Bisoprolol Fumarate,,2.5 mg,beta blockers,False,False
148,148.0,0204000H0AAAWAW,Bisoprolol Fumar,Bisoprolol Fumar_Tab 3.75mg          @gn,Bisoprolol Fumarate,,3.75 mg,beta blockers,False,False
149,149.0,0204000H0AAAXAX,Bisoprolol Fumar,Bisoprolol Fumar_Tab 7.5mg           @gn,Bisoprolol Fumarate,,7.5 mg,beta blockers,False,False
150,150.0,0204000H0AAAYAY,Bisoprolol Fumar,Bisoprolol Fumar_Pdr Sach 10mg,Bisoprolol Fumarate,,10 mg,beta blockers,False,False
151,151.0,0204000H0AAAZAZ,Bisoprolol Fumar,Bisoprolol Fumar_Pdr Sach 1.5mg,Bisoprolol Fumarate,,1.5 mg,beta blockers,False,False
152,152.0,0204000H0AABABA,Bisoprolol Fumar,Bisoprolol Fumar_Liq Spec 1.5mg/5ml,Bisoprolol Fumarate,,5 mg/5 ml,beta blockers,False,False
153,153.0,0204000H0AABBBB,Bisoprolol Fumar,Bisoprolol Fumar_Liq Spec 7.5mg/5ml,Bisoprolol Fumarate,,5 mg/5 ml,beta blockers,False,False
154,154.0,0204000H0AABCBC,Bisoprolol Fumar,Bisoprolol Fumar_Pdr Sach 2.5mg,Bisoprolol Fumarate,,2.5 mg,beta blockers,False,False
