bnf_code,brand_name,presentation,term,quantity,dose,group,with_calcium_channel_blocker,with_diuretic
0205020H0BDACAE,Medomet,Medomet_Tab 500mg,Methyldopa,,500 mg,Centrally-Acting Antihypertensive Drugs,False,False
0205020H0BFAAAC,Lederdopa,Lederdopa_Tab 125mg,Methyldopa,,125 mg,Centrally-Acting Antihypertensive Drugs,False,False
0205020H0BFABAD,Lederdopa,Lederdopa_Tab 250mg,Methyldopa,,250 mg,Centrally-Acting Antihypertensive Drugs,False,False
0205020H0BFACAE,Lederdopa,Lederdopa_Tab 500mg,Methyldopa,,500 mg,Centrally-Acting Antihypertensive Drugs,False,False
0205020H0BGAAAA,Co-Caps Methyldopa,Co-Caps_Methyldopa 250mg,Methyldopa,,250 mg,Centrally-Acting Antihypertensive Drugs,False,False
0205020H0BHAAAD,Metalpha,Metalpha 250_Tab 250mg,Methyldopa,,250 mg,Centrally-Acting Antihypertensive Drugs,False,False
0205020H0BHABAE,Metalpha,Metalpha 500_Tab 500mg,Methyldopa,,500 mg,Centrally-Acting Antihypertensive Drugs,False,False
0205020I0AAAAAA,Methyldopa/Hydchloroth,Methyldopa/Hydchloroth_Tab 250mg/15mg,Methyldopa,,250 mg,Centrally-Acting Antihypertensive Drugs,False,True
0205020I0BBAAAA,Hydromet,Hydromet_Tab,Methyldopa,,,Centrally-Acting Antihypertensive Drugs,False,True
0205020J0AAAAAA,Methyldopate HCl,Methyldopate HCl_Inj 50mg/ml 5ml Amp,Methyldopa,,50 mg/mL,Centrally-Acting Antihypertensive Drugs,False,False
0205020J0BBAAAA,Aldomet (Parent),Aldomet_Inj 50mg/ml 5ml Amp,Methyldopa,,50 mg/mL,Centrally-Acting Antihypertensive Drugs,False,False
0205020M0AAAAAA,Moxonidine,Moxonidine_Tab 200mcg,Moxonidine,,,Centrally-Acting Antihypertensive Drugs,False,False
0205020M0AAABAB,Moxonidine,Moxonidine_Tab 400mcg,Moxonidine,,,Centrally-Acting Antihypertensive Drugs,False,False
0205020M0AAACAC,Moxonidine,Moxonidine_Tab 300mcg,Moxonidine,,,Centrally-Acting Antihypertensive Drugs,False,False
0205020M0AAADAD,Moxonidine,Moxonidine_Tab 400mcg                @gn,Moxonidine,,,Centrally-Acting Antihypertensive Drugs,False,False
0205020M0AAAEAE,Moxonidine,Moxonidine_Tab 200mcg                @gn,Moxonidine,,,Centrally-Acting Antihypertensive Drugs,False,False
0205020M0AAAFAF,Moxonidine,Moxonidine_Tab 300mcg                @gn,Moxonidine,,,Centrally-Acting Antihypertensive Drugs,False,False
0205020M0BBAAAA,Physiotens,Physiotens_Tab 200mcg (Mylan),Moxonidine,,,Centrally-Acting Antihypertensive Drugs,False,False
